parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
44,45,693.0,48.0,0.06926,21.0,4.24675,173.25,0.0924,0.5274,0.0154,0.03653,18.25541,5.17372,8.0,23.0,583.88,109.12,4.51588,3.19602,1.18689
43,45,405.0,38.0,0.09383,14.0,3.72049,101.25,0.0405,0.25,0.00853,0.02346,39.11852,3.69995,32.0,47.0,394.64,10.36,0.52151,2.15225,1.02625
45,46,385.0,25.0,0.06494,21.0,4.26125,128.33333,0.05133,0.42308,0.00811,0.02747,17.08571,5.52965,7.0,22.0,332.96,52.04,2.85195,2.53098,1.1563
44,46,224.0,24.0,0.10714,13.0,3.56291,74.66667,0.02987,0.24615,0.00498,0.02637,39.91964,3.43859,33.0,48.0,215.3,8.7,0.59292,1.56912,1.04041
46,47,517.0,36.0,0.06963,21.0,4.19943,129.25,0.06893,0.56813,0.01149,0.03956,17.76402,5.21254,8.0,23.0,444.6,72.4,3.43363,3.00107,1.16284
45,47,315.0,29.0,0.09206,14.0,3.7046,78.75,0.0315,0.25383,0.00663,0.02337,39.07937,3.62663,32.0,47.0,310.0,5.0,0.28398,1.32583,1.01613
47,48,1021.0,70.0,0.06856,22.0,4.33146,255.25,0.1021,0.82272,0.02149,0.05641,17.49363,5.47966,7.0,22.0,901.74,119.26,3.9715,3.97971,1.13226
46,48,607.0,68.0,0.11203,13.0,3.60862,151.75,0.08093,0.66703,0.01349,0.07473,39.67381,3.4592,33.0,48.0,542.26,64.74,2.78015,3.17998,1.11939
48,49,558.0,45.0,0.08065,21.0,4.27211,186.0,0.0744,0.45551,0.01175,0.03673,17.73118,5.48763,7.0,22.0,549.88,8.12,0.34628,2.5592,1.01477
47,49,506.0,50.0,0.09881,14.0,3.71623,168.66667,0.06747,0.41306,0.01065,0.04082,39.29249,3.77916,32.0,47.0,375.52,130.48,6.73329,4.26028,1.34746
48,50,463.0,52.0,0.11231,14.0,3.69259,115.75,0.0463,0.27316,0.00975,0.03068,39.21382,3.56362,32.0,47.0,424.36,38.64,1.87573,3.2295,1.09105
49,50,671.0,44.0,0.06557,20.0,4.24254,167.75,0.08947,0.54776,0.01491,0.03592,17.78092,5.32082,8.0,23.0,617.1,53.9,2.16976,2.53098,1.08734
50,51,569.0,40.0,0.0703,22.0,4.29511,142.25,0.0569,0.41962,0.01198,0.0295,17.56415,5.59562,7.0,22.0,514.54,54.46,2.40087,3.16302,1.10584
49,51,323.0,33.0,0.10217,13.0,3.59265,80.75,0.04307,0.26367,0.00718,0.02694,39.41176,3.49269,33.0,48.0,309.52,13.48,0.76621,2.07966,1.04355
