param,level,mult,value,seed,f1,precision,recall,n_detected,true_episodes,c_median_rel_err,c_n,window_est,null_mean,attack_overlap_mass,n_est_pairs,pearson,pearson_large,n_pairs_scored,true_pos_pairs,est_pos_pairs
min_pair_mass,0.5x,0.5,4.0,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4880.0,95,0.3582262184716495,0.16639277627814797,4692.0,274.0,146.0
min_pair_mass,0.5x,0.5,4.0,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
min_pair_mass,1x,1.0,8.0,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
min_pair_mass,1x,1.0,8.0,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
min_pair_mass,1x,1.0,8.0,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
min_pair_mass,2x,2.0,16.0,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,0.0,5094.0,85,0.517002961299079,0.2983500461884207,5256.0,246.0,158.0
min_pair_mass,2x,2.0,16.0,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.0,4781.0,86,0.35041170135445254,0.16525577179850406,4692.0,274.0,132.0
min_pair_mass,2x,2.0,16.0,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,0.0,4575.0,83,0.5240778758624581,0.5469336923543368,4556.0,130.0,128.0
max_cell,0.5x,0.5,2,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,126.1,5525.0,111,0.5304627081116382,0.3081274314141209,5256.0,246.0,200.0
max_cell,0.5x,0.5,2,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,110.8,5403.0,126,0.39485735348248724,0.19978474883506328,4692.0,274.0,196.0
max_cell,0.5x,0.5,2,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,119.1,4886.0,101,0.5272709724467,0.547568524739534,4556.0,130.0,160.0
max_cell,1x,1.0,4,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
max_cell,1x,1.0,4,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
max_cell,1x,1.0,4,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
max_cell,2x,2.0,8,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,0.0,3780.0,50,0.5474798116608535,0.29559136062740765,5256.0,246.0,92.0
max_cell,2x,2.0,8,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,20,0.0,3261.0,43,0.3729842052757643,0.17954150391635817,4692.0,274.0,62.0
max_cell,2x,2.0,8,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,0.0,3032.0,39,0.5433092927894949,0.5364800988136452,4556.0,130.0,60.0
eviction_tail,0.5x,0.5,8,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,1.6,3838.0,79,0.5562260398726265,0.3415247459763639,5256.0,246.0,148.0
eviction_tail,0.5x,0.5,8,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.0,3568.0,80,0.3942327731575221,0.18993248578299232,4692.0,274.0,120.0
eviction_tail,0.5x,0.5,8,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,1.9,3270.0,73,0.5671556913512039,0.5639298762031354,4556.0,130.0,110.0
eviction_tail,1x,1.0,15,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,4.3,5172.0,92,0.5210239749182863,0.3021574247113187,5256.0,246.0,170.0
eviction_tail,1x,1.0,15,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,0.8,4873.0,94,0.35831373798940996,0.16639277627814797,4692.0,274.0,144.0
eviction_tail,1x,1.0,15,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,2.2,4583.0,84,0.5239867510833566,0.5469336923543368,4556.0,130.0,130.0
eviction_tail,2x,2.0,30,7,0.929936305732484,0.948051948051948,0.9125,77.0,80.0,0.13861386138613863,73.0,45,9.6,7412.0,106,0.4529696248568944,0.28366612658784385,5256.0,246.0,198.0
eviction_tail,2x,2.0,30,8,0.8846153846153847,0.9078947368421053,0.8625,76.0,80.0,0.09473684210526316,69.0,45,5.5,6958.0,108,0.31423787728967395,0.20381877039712262,4692.0,274.0,172.0
eviction_tail,2x,2.0,30,9,0.8717948717948718,0.8947368421052632,0.85,76.0,80.0,0.14067046909556513,68.0,45,7.4,6894.0,101,0.4200801771343818,0.5498091634998886,4556.0,130.0,156.0
