parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
33,34,0,0,4540,4664,111,83,54.0,6.0,0.11111,21.0,4.14389,13.5,0.10547,0.34839,0.02109,0.03871,36.44444,6.86016,27.0,42.0,20.2963,33.7037,7.48116,5.15504,2.66058
32,34,0,0,4474,4664,125,83,5.0,2.0,0.4,3.0,1.52193,1.25,0.00977,0.03226,0.00206,0.0129,72.8,0.74833,72.0,87.0,1.92593,3.07407,2.21511,1.48994,2.59615
34,36,0,0,4664,4258,83,117,6.0,3.0,0.5,3.0,1.45915,1.0,0.01172,0.03871,0.00247,0.01935,72.33333,1.37437,71.0,86.0,2.46914,3.53086,2.24703,4.06181,2.43
36,37,0,0,4258,4709,117,116,71.0,18.0,0.25352,21.0,3.68159,17.75,0.13867,0.40805,0.02641,0.10345,40.46479,6.36193,25.0,40.0,19.8642,51.1358,11.47333,19.42647,3.57427
37,38,0,0,4709,5000,116,125,47.0,6.0,0.12766,18.0,3.90036,11.75,0.0918,0.27011,0.01933,0.03448,38.19149,5.49521,28.0,43.0,20.53086,26.46914,5.84166,3.56635,2.28924
36,38,0,0,4258,5000,117,125,7.0,5.0,0.71429,3.0,1.14883,1.75,0.01367,0.03465,0.0026,0.02475,73.28571,1.16058,71.0,86.0,3.22222,3.77778,2.10455,2.66164,2.17241
37,39,0,0,4709,4412,116,93,6.0,3.0,0.5,3.0,1.45915,1.5,0.01172,0.03448,0.00247,0.01724,73.33333,0.74536,72.0,87.0,3.19753,2.80247,1.56723,1.33682,1.87645
38,39,0,0,5000,4412,125,93,36.0,4.0,0.11111,19.0,3.99591,9.0,0.07031,0.20571,0.0148,0.02286,35.58333,5.25132,26.0,41.0,18.23457,17.76543,4.16033,2.18842,1.97427
39,40,0,0,4412,4774,93,142,82.0,30.0,0.36585,15.0,3.12415,13.66667,0.16016,0.46857,0.03372,0.17143,40.65854,4.92683,30.0,42.0,21.41975,60.58025,13.08952,32.54982,3.82824
38,40,0,0,5000,4774,125,142,3.0,2.0,0.66667,2.0,0.9183,0.5,0.00586,0.01485,0.00123,0.0099,72.66667,0.94281,72.0,86.0,0.61728,2.38272,3.0327,3.04444,4.86
40,41,47,1,4774,4869,142,147,112.0,27.0,0.24107,22.0,3.66911,18.66667,0.14583,0.41948,0.04167,0.10112,38.50893,5.50972,26.0,40.0,28.48148,83.51852,15.64954,28.36111,3.93238
39,41,0,0,4412,4869,93,147,1.0,1.0,1.0,1.0,-0.0,0.16667,0.00195,0.00571,0.00041,0.00571,74,0.0,74.0,87.0,0.32099,0.67901,1.19849,1.19849,3.11538
41,42,66,1,4869,4950,147,74,108.0,47.0,0.43519,21.0,3.02399,21.6,0.16875,0.53465,0.04018,0.23267,38.17593,4.35428,26.0,40.0,23.1358,84.8642,17.6434,44.99221,4.66809
40,42,0,0,4774,4950,142,74,2.0,1.0,0.5,2.0,1.0,0.4,0.00313,0.0099,0.00074,0.00495,72,2.0,70.0,85.0,1.24691,0.75309,0.67441,1.03459,1.60396
42,43,0,0,4950,4590,74,152,52.0,5.0,0.09615,20.0,4.17624,7.42857,0.08125,0.25743,0.02031,0.02475,37.09615,6.04871,28.0,41.0,25.60494,26.39506,5.21628,4.94881,2.03086
41,43,0,0,4869,4590,147,152,2.0,1.0,0.5,2.0,1.0,0.28571,0.0026,0.00733,0.00074,0.00366,72,1.0,71.0,85.0,1.48148,0.51852,0.42601,0.30123,1.35
43,44,0,0,4590,5061,152,133,54.0,7.0,0.12963,21.0,4.13637,9.0,0.07031,0.19708,0.01918,0.02555,36.7963,6.07173,26.0,39.0,23.25926,30.74074,6.37406,3.92945,2.32166
42,44,0,0,4950,5061,74,133,1.0,1.0,1.0,1.0,-0.0,0.16667,0.00156,0.00495,0.00039,0.00495,73,0.0,73.0,86.0,0.7037,0.2963,0.35321,0.35321,1.42105
43,45,0,0,4590,4321,152,55,8.0,3.0,0.375,5.0,2.15564,2.66667,0.02083,0.06557,0.00284,0.02459,71.875,1.53603,69.0,84.0,2.76543,5.23457,3.14774,2.98726,2.89286
44,45,0,0,5061,4321,133,55,20.0,3.0,0.15,15.0,3.78418,6.66667,0.05208,0.16393,0.00744,0.02459,35.7,6.35689,26.0,40.0,9.83951,10.16049,3.23913,2.81374,2.03262
45,47,0,0,4321,5845,55,130,2.0,2.0,1.0,1.0,-0.0,0.4,0.00521,0.01639,0.00087,0.01639,74,0.0,74.0,89.0,0.7037,1.2963,1.54529,1.54529,2.84211
47,48,0,0,5845,5247,130,76,43.0,6.0,0.13953,17.0,3.85012,10.75,0.08398,0.27044,0.0168,0.03774,36.2093,5.60547,26.0,40.0,20.32099,22.67901,5.03097,4.41542,2.11604
48,49,0,0,5247,5445,76,67,44.0,5.0,0.11364,20.0,4.10752,11.0,0.08594,0.27673,0.01809,0.03145,36.11364,5.60526,27.0,42.0,18.22222,25.77778,6.03872,6.31636,2.41463
47,49,0,0,5845,5445,130,67,4.0,2.0,0.5,3.0,1.5,1.0,0.00781,0.02395,0.00156,0.01198,72.75,1.08972,71.0,85.0,2.09877,1.90123,1.31236,1.1129,1.90588
49,50,35,1,5445,5477,67,56,61.0,33.0,0.54098,17.0,2.71206,20.33333,0.15885,0.52586,0.02508,0.28448,39.01639,4.16658,28.0,42.0,14.81481,46.18519,11.99926,34.8262,4.1175
50,51,0,0,5477,5680,56,110,54.0,7.0,0.12963,19.0,4.03691,10.8,0.14062,0.46552,0.02344,0.06034,39.57407,4.79429,29.0,43.0,24.7284,29.2716,5.88638,4.08248,2.18372
49,51,0,0,5445,5680,67,110,4.0,4.0,1.0,1.0,-0.0,0.8,0.00781,0.02395,0.00164,0.02395,74,0.0,74.0,87.0,1.82716,2.17284,1.60746,1.63299,2.18919
51,52,29,1,5680,5558,110,151,90.0,25.0,0.27778,21.0,3.80286,15.0,0.14062,0.41284,0.03516,0.11468,39.38889,5.48877,27.0,42.0,27.69136,62.30864,11.84067,25.78596,3.25011
50,52,0,0,5477,5558,56,151,1.0,1.0,1.0,1.0,-0.0,0.16667,0.0026,0.00862,0.00043,0.00862,74,0.0,74.0,89.0,0.69136,0.30864,0.3712,0.3712,1.44643
52,53,0,0,5558,5374,151,85,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01351,0.00074,0.00676,73.5,0.5,73.0,85.0,1.19753,0.80247,0.73331,0.55105,1.6701
53,55,0,0,5374,5909,85,85,3.0,3.0,1.0,1.0,-0.0,0.75,0.00781,0.02027,0.0013,0.02027,74,0.0,74.0,87.0,1.11111,1.88889,1.79196,1.57387,2.7
55,56,0,0,5909,5759,85,150,54.0,5.0,0.09259,20.0,4.12621,9.0,0.10547,0.31765,0.0222,0.02941,37.7963,5.22593,28.0,42.0,26.18519,27.81481,5.43561,3.22039,2.06223
56,57,0,0,5759,5284,150,153,51.0,5.0,0.09804,21.0,4.24313,8.5,0.06641,0.19392,0.01897,0.01901,36.82353,6.35457,25.0,40.0,24.33333,26.66667,5.4059,3.41875,2.09589
55,57,0,0,5909,5284,85,153,6.0,4.0,0.66667,2.0,0.9183,1.0,0.01172,0.03529,0.00247,0.02353,73.66667,0.4714,73.0,87.0,2.20988,3.79012,2.54958,1.54529,2.71508
57,58,17,1,5284,5420,153,54,48.0,20.0,0.41667,14.0,2.97125,16.0,0.125,0.38095,0.01786,0.15873,36.14583,4.61876,25.0,40.0,15.04938,32.95062,8.49384,17.78244,3.1895
56,58,0,0,5759,5420,150,54,3.0,1.0,0.33333,3.0,1.58496,1.0,0.00781,0.02381,0.00112,0.00794,73,0.8165,72.0,85.0,2.18519,0.81481,0.55121,0.38954,1.37288
58,59,0,0,5420,5509,54,90,25.0,4.0,0.16,15.0,3.67327,6.25,0.0651,0.19841,0.01085,0.03175,36.16,5.54025,28.0,43.0,11.2716,13.7284,4.08909,2.88675,2.21796
57,59,0,0,5284,5509,153,90,4.0,2.0,0.5,2.0,1.0,1.0,0.00781,0.02286,0.00149,0.01143,72,1.0,71.0,85.0,0.97531,3.02469,3.06274,2.88675,4.10127
59,60,0,0,5509,5347,90,42,47.0,18.0,0.38298,10.0,2.35101,15.66667,0.1224,0.4087,0.01933,0.15652,43,4.52887,29.0,42.0,6.96296,40.03704,15.17277,21.89105,6.75
58,60,0,0,5420,5347,54,42,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.0087,0.00043,0.0087,74,0.0,74.0,88.0,0.30864,0.69136,1.24444,1.24444,3.24
60,61,0,0,5347,5186,42,127,70.0,13.0,0.18571,16.0,3.60493,14.0,0.18229,0.6087,0.03038,0.11304,34.71429,5.5835,29.0,43.0,23.1358,46.8642,9.74314,11.18529,3.02561
59,61,0,0,5509,5186,90,127,1.0,1.0,1.0,1.0,-0.0,0.2,0.00195,0.00571,0.00041,0.00571,74,0.0,74.0,87.0,0.75309,0.24691,0.28453,0.28453,1.32787
60,62,0,0,5347,5944,42,88,2.0,2.0,1.0,1.0,-0.0,0.5,0.00521,0.01739,0.00087,0.01739,74,0.0,74.0,88.0,0.2963,1.7037,3.1299,3.1299,6.75
61,62,0,0,5186,5944,127,88,26.0,3.0,0.11538,12.0,3.47835,6.5,0.05078,0.15294,0.01016,0.01765,38.15385,6.57906,26.0,41.0,11.50617,14.49383,4.27285,1.97657,2.25966
62,63,0,0,5944,6411,88,119,55.0,7.0,0.12727,19.0,3.89773,11.0,0.10742,0.32353,0.02262,0.04118,38.94545,5.32718,28.0,43.0,24.59259,30.40741,6.13165,4.19107,2.23645
61,63,0,0,5186,6411,127,119,3.0,3.0,1.0,1.0,-0.0,0.6,0.00469,0.01357,0.00117,0.01357,74,0.0,74.0,87.0,1.8642,1.1358,0.83187,0.50794,1.60927
63,64,0,0,6411,6040,119,59,34.0,5.0,0.14706,17.0,3.90027,11.33333,0.08854,0.27642,0.01328,0.04065,35.02941,5.44753,25.0,40.0,16.2716,17.7284,4.39495,2.66164,2.08953
62,64,0,0,5944,6040,88,59,4.0,4.0,1.0,1.0,-0.0,1.33333,0.01042,0.03252,0.00164,0.03252,73,0.0,73.0,87.0,1.09877,2.90123,2.76777,2.66164,3.64045
64,65,0,0,6040,6117,59,146,54.0,6.0,0.11111,18.0,3.86575,7.71429,0.14062,0.43902,0.02344,0.04878,38.7963,4.66023,31.0,43.0,23.28395,30.71605,6.36557,3.12731,2.31919
63,65,0,0,6411,6117,119,146,7.0,3.0,0.42857,4.0,1.84237,1.0,0.01094,0.02893,0.00273,0.0124,72.57143,0.90351,71.0,85.0,3.80247,3.19753,1.63977,1.63299,1.84091
65,66,0,0,6117,6003,146,59,17.0,2.0,0.11765,13.0,3.61687,5.66667,0.04427,0.16667,0.00604,0.01961,34.41176,6.23141,25.0,39.0,6.44444,10.55556,4.15804,1.97657,2.63793
65,67,0,0,6117,6777,146,91,17.0,6.0,0.35294,6.0,2.30719,4.25,0.0332,0.10303,0.00604,0.03636,72.29412,1.36186,69.0,84.0,6.60494,10.39506,4.04476,3.65366,2.57383
66,67,0,0,6003,6777,59,91,43.0,9.0,0.2093,19.0,3.89572,10.75,0.11198,0.42157,0.01866,0.08824,39.48837,5.22237,29.0,43.0,18.7284,24.2716,5.60852,5.92144,2.29598
67,68,0,0,6777,6247,91,58,40.0,8.0,0.2,16.0,3.72507,13.33333,0.10417,0.32258,0.01645,0.06452,38.45,5.55405,29.0,42.0,13.23457,26.76543,7.35732,7.58725,3.02239
66,68,0,0,6003,6247,59,58,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.0098,0.00043,0.0098,74,0.0,74.0,88.0,0.69136,0.30864,0.3712,0.3712,1.44643
68,69,0,0,6247,6492,58,134,63.0,8.0,0.12698,21.0,4.16397,10.5,0.16406,0.50806,0.02734,0.06452,38.4127,5.59091,29.0,43.0,32.02469,30.97531,5.4736,2.38521,1.96723
67,69,0,0,6777,6492,91,134,3.0,3.0,1.0,1.0,-0.0,0.5,0.00586,0.01818,0.00123,0.01818,74,0.0,74.0,87.0,2.03704,0.96296,0.6747,0.86394,1.47273
69,70,0,0,6492,6347,134,128,28.0,3.0,0.10714,20.0,4.20897,7.0,0.05469,0.15217,0.01042,0.0163,37,6.59004,26.0,41.0,14.96296,13.03704,3.37031,2.23505,1.87129
68,70,0,0,6247,6347,58,128,1.0,1.0,1.0,1.0,-0.0,0.25,0.0026,0.00806,0.00043,0.00806,74,0.0,74.0,89.0,0.67901,0.32099,0.38954,0.38954,1.47273
70,71,0,0,6347,6081,128,69,25.0,3.0,0.12,15.0,3.78347,8.33333,0.0651,0.19084,0.01028,0.0229,34.32,5.05743,26.0,41.0,11.32099,13.67901,4.06549,2.96353,2.20829
69,71,0,0,6492,6081,134,69,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00763,0.00037,0.00763,74,0.0,74.0,85.0,0.51852,0.48148,0.66865,0.66865,1.92857
71,72,0,0,6081,6206,69,73,34.0,4.0,0.11765,15.0,3.76336,8.5,0.08854,0.25954,0.01476,0.03053,35.88235,5.50275,28.0,43.0,15.4321,18.5679,4.72662,3.90649,2.2032
70,72,0,0,6347,6206,128,73,2.0,1.0,0.5,2.0,1.0,0.5,0.00391,0.01163,0.00082,0.00581,73.5,0.5,73.0,86.0,1.48148,0.51852,0.42601,0.48712,1.35
72,73,0,0,6206,6626,73,151,53.0,7.0,0.13208,19.0,3.98678,10.6,0.10352,0.30814,0.02179,0.0407,38.26415,4.51894,29.0,43.0,26.54321,26.45679,5.13524,3.44611,1.99674
73,74,79,1,6626,6550,151,155,119.0,71.0,0.59664,19.0,2.48804,17.0,0.18594,0.50424,0.04648,0.30085,40.17647,4.43373,25.0,40.0,21.28395,97.71605,21.18067,55.36111,5.59107
72,74,0,0,6206,6550,73,155,2.0,2.0,1.0,1.0,-0.0,0.28571,0.00391,0.01163,0.00082,0.01163,74,0.0,74.0,87.0,1.12346,0.87654,0.82698,1.1129,1.78022
73,75,64,1,6626,6713,151,111,3.0,1.0,0.33333,3.0,1.58496,0.75,0.00586,0.02041,0.00117,0.0068,73,0.8165,72.0,86.0,1.45679,1.54321,1.27858,2.21318,2.05932
74,75,0,0,6550,6713,155,111,41.0,4.0,0.09756,20.0,4.21073,10.25,0.08008,0.27891,0.01456,0.02721,36.2439,6.95554,25.0,40.0,21.92593,19.07407,4.07347,3.22734,1.86993
75,76,0,0,6713,6312,111,80,32.0,4.0,0.125,18.0,3.91391,8.0,0.0625,0.21769,0.01316,0.02721,36.46875,5.06819,29.0,41.0,12.88889,19.11111,5.32327,3.04444,2.48276
74,76,0,0,6550,6312,155,80,11.0,5.0,0.45455,4.0,1.85856,2.75,0.02148,0.07237,0.00391,0.03289,72.18182,1.26622,70.0,84.0,4.51852,6.48148,3.04913,2.14332,2.43443
75,77,0,0,6713,6276,111,87,3.0,2.0,0.66667,2.0,0.9183,0.75,0.00586,0.02041,0.00123,0.01361,73.33333,0.94281,72.0,86.0,1.77778,1.22222,0.91667,1.51556,1.6875
76,77,51,1,6312,6276,80,87,73.0,30.0,0.41096,14.0,2.45345,18.25,0.14258,0.48026,0.03002,0.19737,39.9726,4.19057,28.0,42.0,12.06173,60.93827,17.54629,29.98614,6.0522
