episode,m,batches,true_recent_count,true_recent_frac,own_frac_short,e1_frac_short,e2_short_excess,bg_local
65,115,4,51,0.4434782608695652,0.6228070175438597,0.5240384615384616,67.0,10.5
66,75,4,4,0.05333333333333334,0.2328767123287671,0.3352601156069364,14.0,11.0
67,75,4,2,0.02666666666666667,0.21428571428571427,0.36065573770491804,22.0,11.0
68,63,3,0,0.0,0.0967741935483871,0.26573426573426573,5.0,11.0
69,85,4,64,0.7529411764705882,0.7560975609756098,0.5401069518716578,61.0,10.0
70,116,4,3,0.02586206896551724,0.29357798165137616,0.3469387755102041,26.0,10.5
71,53,3,10,0.18867924528301888,0.4117647058823529,0.4626865671641791,30.5,10.5
72,140,5,42,0.3,0.3937007874015748,0.38866396761133604,41.0,11.0
73,118,4,80,0.6779661016949152,0.7678571428571429,0.6275510204081632,79.0,11.0
74,84,4,21,0.25,0.24390243902439024,0.3314917127071823,12.0,12.0
75,71,4,5,0.07042253521126761,0.23076923076923078,0.4161849710982659,24.0,12.0
76,112,4,24,0.21428571428571427,0.2692307692307692,0.3076923076923077,12.0,12.0
