parent,child,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
60,62,4.0,2.0,0.5,3.0,1.5,2.0,0.01562,0.03922,0.00149,0.01961,72.75,0.82916,72.0,86.0,2.25926,1.74074,1.15811,1.43686,1.77049
62,63,61.0,7.0,0.11475,18.0,4.00615,12.2,0.23828,0.59804,0.02803,0.06863,38.45902,4.86397,30.0,44.0,32.24691,28.75309,5.06338,2.85774,1.89165
61,63,5.0,3.0,0.6,3.0,1.37095,1.0,0.00781,0.02137,0.00195,0.01282,73,0.63246,72.0,86.0,2.92593,2.07407,1.21253,1.63299,1.70886
63,64,4.0,2.0,0.5,3.0,1.5,0.8,0.00625,0.01818,0.00156,0.00909,72.75,1.29904,71.0,85.0,2.95062,1.04938,0.61091,0.42734,1.35565
64,65,46.0,5.0,0.1087,18.0,4.03162,15.33333,0.11979,0.34074,0.01797,0.03704,37.93478,5.45098,27.0,42.0,22.16049,23.83951,5.06416,3.12731,2.07577
65,66,42.0,5.0,0.11905,19.0,3.97603,10.5,0.10938,0.31111,0.01823,0.03704,38.21429,5.26686,29.0,43.0,19.32099,22.67901,5.15952,2.89983,2.1738
64,66,2.0,1.0,0.5,2.0,1.0,0.5,0.00391,0.01099,0.00078,0.00549,72.5,0.5,72.0,87.0,1.48148,0.51852,0.42601,0.30123,1.35
66,67,52.0,5.0,0.09615,22.0,4.23431,10.4,0.10156,0.28571,0.02138,0.02747,38.21154,5.83536,27.0,42.0,24.87654,27.12346,5.43814,3.22734,2.09032
65,67,3.0,2.0,0.66667,2.0,0.9183,0.6,0.00781,0.02222,0.0013,0.01481,73.33333,0.4714,73.0,88.0,1.35802,1.64198,1.40901,1.6031,2.20909
67,68,46.0,7.0,0.15217,18.0,3.95441,15.33333,0.11979,0.33094,0.01797,0.05036,36.04348,5.91592,26.0,41.0,19.79012,26.20988,5.8917,3.69711,2.32439
66,68,4.0,3.0,0.75,2.0,0.81128,1.33333,0.01042,0.02878,0.00164,0.02158,73.75,0.43301,73.0,87.0,2.04938,1.95062,1.36258,1.41111,1.95181
69,70,51.0,5.0,0.09804,21.0,4.19235,12.75,0.09961,0.31098,0.01811,0.03049,35.96078,6.57076,25.0,39.0,23.35802,27.64198,5.71941,2.89983,2.1834
70,71,61.0,7.0,0.11475,20.0,4.15294,12.2,0.11914,0.37195,0.02508,0.04268,38.44262,5.32401,29.0,43.0,28.53086,32.46914,6.07874,3.56635,2.13804
69,71,13.0,6.0,0.46154,4.0,1.77586,2.6,0.02031,0.05532,0.00462,0.02553,72.69231,1.06588,71.0,85.0,6.66667,6.33333,2.45289,2.14332,1.95
70,72,2.0,2.0,1.0,1.0,-0.0,0.5,0.00391,0.0122,0.00082,0.0122,74,0.0,74.0,88.0,0.65432,1.34568,1.66359,1.66359,3.0566
71,72,47.0,5.0,0.10638,21.0,4.18993,11.75,0.0918,0.25543,0.01836,0.02717,36.10638,5.97596,27.0,41.0,20.34568,26.65432,5.90924,3.0327,2.31007
